"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig_LFC1","sig_LFC2","sig_LFC3"
"CARD10",-0.144052225190406,6.99159527035351,-0.639737354716157,0.525750439764664,0.951720455548197,-4.93200516317309,"Not Significant","Not Significant","Not Significant"
"MICU2",0.176868742696083,10.2178153416216,0.639620326642554,0.525825809766847,0.951720455548197,-4.93205077768761,"Not Significant","Not Significant","Not Significant"
"CD74",-0.252984547408039,10.3043994355348,-0.639405097228398,0.525964439654583,0.951720455548197,-4.93213464733285,"Not Significant","Not Significant","Not Significant"
"VWA1",0.141641223948884,7.040032159921,0.639400202901573,0.52596759232955,0.951720455548197,-4.93213655421291,"Not Significant","Not Significant","Not Significant"
"LAPTM5",-0.299370037849927,10.9642297113673,-0.639326111976406,0.526015319134962,0.951720455548197,-4.93216541906343,"Not Significant","Not Significant","Not Significant"
"UNC13B",0.208111547708883,8.86167362333373,0.638849709757507,0.526322255664372,0.951720455548197,-4.93235094131611,"Not Significant","Not Significant","Not Significant"
"PRICKLE4",-0.185471395889765,11.3126425489767,-0.638818751512815,0.526342204726935,0.951720455548197,-4.93236299252721,"Not Significant","Not Significant","Not Significant"
"FZR1",-0.105107237031079,7.41589523386033,-0.638575448024066,0.526499000034778,0.951720455548197,-4.93245768423035,"Not Significant","Not Significant","Not Significant"
"DDIT4",-0.388735895870504,10.9466569481503,-0.638430291552503,0.526592556915722,0.951720455548197,-4.93251416120043,"Not Significant","Not Significant","Not Significant"
"CAPRIN1",-0.156220854683491,8.60691678401432,-0.638309415516164,0.526670471171895,0.951720455548197,-4.93256118168488,"Not Significant","Not Significant","Not Significant"
"LAPTM4B",-0.165171448160694,12.7129373595519,-0.638274591537779,0.526692919137108,0.951720455548197,-4.93257472651941,"Not Significant","Not Significant","Not Significant"
"NDUFS2",0.180834062408951,11.1616443236529,0.638244526775511,0.526712299659855,0.951720455548197,-4.93258641967152,"Not Significant","Not Significant","Not Significant"
"ALDOA",0.182456345397772,12.0802363932434,0.638182549067865,0.526752253281544,0.951720455548197,-4.93261052310127,"Not Significant","Not Significant","Not Significant"
"GGCT",-0.219626106680783,11.5158140400065,-0.638116588481453,0.526794776205977,0.951720455548197,-4.93263617298838,"Not Significant","Not Significant","Not Significant"
"CSNK1D",0.10005617433128,8.74358107141587,0.637811255609073,0.526991639309719,0.951720455548197,-4.93275487319654,"Not Significant","Not Significant","Not Significant"
"YPEL5",-0.179367957288427,10.5178129279894,-0.637654382851801,0.527092797998688,0.951720455548197,-4.93281583702574,"Not Significant","Not Significant","Not Significant"
"PDCD6IP",0.144299845709659,10.120747708716,0.637211870165043,0.527378205583388,0.951720455548197,-4.93298772744255,"Not Significant","Not Significant","Not Significant"
"ARPIN",-0.11589633148531,7.79727579081523,-0.637099198212585,0.527450888691632,0.951720455548197,-4.93303147537777,"Not Significant","Not Significant","Not Significant"
"QKI",-0.129865915876846,7.82353960735594,-0.63703343219835,0.527493315876749,0.951720455548197,-4.93305700733113,"Not Significant","Not Significant","Not Significant"
"CNPPD1",0.144650479677229,9.22534153932539,0.63702477143382,0.527498903271624,0.951720455548197,-4.93306036945763,"Not Significant","Not Significant","Not Significant"
