"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","significance"
"ENSG00000234396",1.78300044887927,-0.435152514553498,0.618351500047798,-0.703730021710728,0.48160092037649,NA,"ENSG00000234396","Not Significant"
"ENSG00000157933",1118.55909247956,-0.0600980338993722,0.210467598771333,-0.285545301273034,0.775226402927397,0.993996023036238,"SKI","Not Significant"
"ENSG00000116151",121.317189835764,0.457408080608853,0.272375757906658,1.67932742665596,0.0930882485980873,0.720960033734677,"MORN1","Not Significant"
"ENSG00000272161",0.794797796498142,-0.557098652791672,0.807046173399549,-0.690293407185101,0.490009693012634,NA,"ENSG00000272161","Not Significant"
"ENSG00000269896",17.0224631554344,0.665291772247721,0.414193943905099,1.60623249576086,0.108222835936623,0.752789628594896,"ENSG00000269896","Not Significant"
"ENSG00000272420",5.63569929169179,0.362195431149077,0.401096135103521,0.903014014472105,0.366518457037707,0.954911409344486,"ENSG00000272420","Not Significant"
"ENSG00000157916",789.907155249269,-0.185424160487773,0.194104863731403,-0.955278280632666,0.339436988044358,0.946298920434934,"RER1","Not Significant"
"ENSG00000157911",136.701078166698,-0.315163841138181,0.266006648950767,-1.18479685519632,0.236097776296968,0.901698985465091,"PEX10","Not Significant"
"ENSG00000149527",154.938787398783,-0.151256447300956,0.475930673266961,-0.317811933117646,0.750627598339382,0.993996023036238,"PLCH2","Not Significant"
"ENSG00000224387",0.411341458260197,-0.433108565008374,1.2749913497961,-0.33969529681722,0.734086003954231,NA,"ENSG00000224387","Not Significant"
"ENSG00000229393",1.29822460521496,0.598267732699936,1.37675469869731,0.434549257951338,0.663889633251926,NA,"ENSG00000229393","Not Significant"
"ENSG00000157881",129.160565423291,0.063632773190087,0.203556008197171,0.312605723376389,0.754580229293937,0.993996023036238,"PANK4","Not Significant"
"ENSG00000197921",2.83512924383435,-0.568032387573722,0.681896456910452,-0.833018535024176,0.404834275970558,NA,"HES5","Not Significant"
"ENSG00000272449",8.79463515658457,-0.665528409811823,0.418337718465887,-1.5908878889822,0.111634808623729,0.75947119736216,"ENSG00000272449","Not Significant"
"ENSG00000238164",48.759098136361,0.147736781952268,0.379219968922495,0.389580702651402,0.696846623946383,0.990328837749126,"TNFRSF14-AS1","Not Significant"
"ENSG00000157873",414.417500181422,-0.0707579563143472,0.247460200552099,-0.285936712879412,0.774926594292349,0.993996023036238,"TNFRSF14","Not Significant"
"ENSG00000225931",3.7453650271451,-0.286067759130994,0.445178824563168,-0.64259066996661,0.520489738680525,0.978940003025155,"ENSG00000225931","Not Significant"
"ENSG00000228037",1.86578009460974,0.0489369514265251,0.537862732021528,0.0909840903878916,0.927505232649579,NA,"ENSG00000228037","Not Significant"
"ENSG00000157870",127.387113542731,-0.181495030550913,0.247016831301479,-0.734747626688653,0.462493208818886,0.968750601252656,"FAM213B","Not Significant"
"ENSG00000142606",3.58541787688157,-0.24332533307487,0.543049876953293,-0.44807179487824,0.654101382952944,0.9856863001503,"MMEL1","Not Significant"
"ENSG00000237058",0,NA,NA,NA,NA,NA,"ENSG00000237058","Not Significant"
"ENSG00000215912",53.9915771692671,0.160362235228026,0.329532067269429,0.486636206778966,0.626516160403155,0.983047289724774,"TTC34","Not Significant"
"ENSG00000283259",0.478231695366672,1.0410561156339,1.26442991601653,0.823340307317037,0.410314498134437,NA,"ENSG00000283259","Not Significant"
"ENSG00000233234",0,NA,NA,NA,NA,NA,"ENSG00000233234","Not Significant"
"ENSG00000231630",0,NA,NA,NA,NA,NA,"ENSG00000231630","Not Significant"
"ENSG00000169717",0,NA,NA,NA,NA,NA,"ACTRT2","Not Significant"
"ENSG00000177133",14.1911459741253,-0.495255297407035,0.562803602802901,-0.879978903725102,0.378870738101125,0.958128644229082,"LINC00982","Not Significant"
"ENSG00000142611",131.719061626865,-0.363974504257494,0.557447871497529,-0.652930117536752,0.513801331612672,0.978564600873261,"PRDM16","Not Significant"
"ENSG00000283572",1.52244094499277,-0.512403185643815,0.983734500696766,-0.520875485490127,0.602453513771691,NA,"MIR4251","Not Significant"
"ENSG00000226286",0.131684894927207,-1.03361423153573,2.24261448286923,-0.460896975129363,0.644872522063442,NA,"ENSG00000226286","Not Significant"
